AK,AK,0
AK,AL,99999
AK,AR,99999
AK,AZ,99999
AK,CA,99999
AK,CO,99999
AK,CT,99999
AK,DE,99999
AK,FL,99999
AK,GA,99999
AK,HI,99999
AK,IA,99999
AK,ID,99999
AK,IL,99999
AK,IN,99999
AK,KS,99999
AK,KY,99999
AK,LA,99999
AK,MA,99999
AK,MD,99999
AK,ME,99999
AK,MI,99999
AK,MN,99999
AK,MO,99999
AK,MS,99999
AK,MT,99999
AK,NC,99999
AK,ND,99999
AK,NE,99999
AK,NH,99999
AK,NJ,99999
AK,NM,99999
AK,NV,99999
AK,NY,99999
AK,OH,99999
AK,OK,99999
AK,OR,99999
AK,PA,99999
AK,RI,99999
AK,SC,99999
AK,SD,99999
AK,TN,99999
AK,TX,99999
AK,UT,99999
AK,VA,99999
AK,VT,99999
AK,WA,99999
AK,WI,99999
AK,WV,99999
AK,WY,99999
AL,AK,99999
AL,AL,0
AL,AR,2
AL,AZ,5
AL,CA,6
AL,CO,4
AL,CT,6
AL,DE,5
AL,FL,1
AL,GA,1
AL,HI,99999
AL,IA,3
AL,ID,5
AL,IL,3
AL,IN,3
AL,KS,3
AL,KY,2
AL,LA,2
AL,MA,6
AL,MD,3
AL,ME,8
AL,MI,4
AL,MN,4
AL,MO,2
AL,MS,1
AL,MT,5
AL,NC,2
AL,ND,5
AL,NE,3
AL,NH,7
AL,NJ,5
AL,NM,4
AL,NV,6
AL,NY,5
AL,OH,3
AL,OK,3
AL,OR,6
AL,PA,4
AL,RI,7
AL,SC,2
AL,SD,4
AL,TN,1
AL,TX,3
AL,UT,5
AL,VA,2
AL,VT,6
AL,WA,6
AL,WI,4
AL,WV,3
AL,WY,4
AR,AK,99999
AR,AL,2
AR,AR,0
AR,AZ,3
AR,CA,4
AR,CO,2
AR,CT,6
AR,DE,5
AR,FL,3
AR,GA,2
AR,HI,99999
AR,IA,2
AR,ID,4
AR,IL,2
AR,IN,3
AR,KS,2
AR,KY,2
AR,LA,1
AR,MA,6
AR,MD,3
AR,ME,8
AR,MI,4
AR,MN,3
AR,MO,1
AR,MS,1
AR,MT,4
AR,NC,2
AR,ND,4
AR,NE,2
AR,NH,7
AR,NJ,5
AR,NM,2
AR,NV,4
AR,NY,5
AR,OH,3
AR,OK,1
AR,OR,5
AR,PA,4
AR,RI,7
AR,SC,3
AR,SD,3
AR,TN,1
AR,TX,1
AR,UT,3
AR,VA,2
AR,VT,6
AR,WA,5
AR,WI,3
AR,WV,3
AR,WY,3
AZ,AK,99999
AZ,AL,5
AZ,AR,3
AZ,AZ,0
AZ,CA,1
AZ,CO,1
AZ,CT,8
AZ,DE,7
AZ,FL,6
AZ,GA,5
AZ,HI,99999
AZ,IA,3
AZ,ID,2
AZ,IL,3
AZ,IN,4
AZ,KS,2
AZ,KY,4
AZ,LA,3
AZ,MA,8
AZ,MD,6
AZ,ME,10
AZ,MI,5
AZ,MN,4
AZ,MO,3
AZ,MS,4
AZ,MT,3
AZ,NC,5
AZ,ND,4
AZ,NE,2
AZ,NH,9
AZ,NJ,7
AZ,NM,1
AZ,NV,1
AZ,NY,7
AZ,OH,5
AZ,OK,2
AZ,OR,2
AZ,PA,6
AZ,RI,9
AZ,SC,6
AZ,SD,3
AZ,TN,4
AZ,TX,2
AZ,UT,1
AZ,VA,5
AZ,VT,8
AZ,WA,3
AZ,WI,4
AZ,WV,5
AZ,WY,2
CA,AK,99999
CA,AL,6
CA,AR,4
CA,AZ,1
CA,CA,0
CA,CO,2
CA,CT,9
CA,DE,8
CA,FL,7
CA,GA,6
CA,HI,99999
CA,IA,4
CA,ID,2
CA,IL,4
CA,IN,5
CA,KS,3
CA,KY,5
CA,LA,4
CA,MA,9
CA,MD,7
CA,ME,11
CA,MI,6
CA,MN,5
CA,MO,4
CA,MS,5
CA,MT,3
CA,NC,6
CA,ND,4
CA,NE,3
CA,NH,10
CA,NJ,8
CA,NM,2
CA,NV,1
CA,NY,8
CA,OH,6
CA,OK,3
CA,OR,1
CA,PA,7
CA,RI,10
CA,SC,7
CA,SD,4
CA,TN,5
CA,TX,3
CA,UT,2
CA,VA,6
CA,VT,9
CA,WA,2
CA,WI,5
CA,WV,6
CA,WY,3
CO,AK,99999
CO,AL,4
CO,AR,2
CO,AZ,1
CO,CA,2
CO,CO,0
CO,CT,7
CO,DE,6
CO,FL,5
CO,GA,4
CO,HI,99999
CO,IA,2
CO,ID,2
CO,IL,2
CO,IN,3
CO,KS,1
CO,KY,3
CO,LA,3
CO,MA,7
CO,MD,5
CO,ME,9
CO,MI,4
CO,MN,3
CO,MO,2
CO,MS,3
CO,MT,2
CO,NC,4
CO,ND,3
CO,NE,1
CO,NH,8
